company_name,company_industry,employee_count_range,city,platform
Hunters Woods at Trails Edge,Nursing Homes and Residential Care Facilities,51-200,Reston,icims
BroadPath,Outsourcing and Offshoring Consulting,1001-5000,TUCSON,icims
Fort Bend County,Government Administration,1001-5000,Richmond,icims
JAGGAER,Software Development,1001-5000,Durham,icims
HaysMed,Medical Practices,51-200,Hays,icims
"NSM Insurance Group, LLC",Insurance,501-1000,Conshohocken,icims
Suncadia,Hospitality,1001-5000,Cle Elum,icims
Solera Senior Living,Hospitals and Health Care,501-1000,Denver,icims
Snow King Resort,Hospitality,,Jackson,icims
Edgeworth Park at New Town,Wellness and Fitness Services,51-200,Williamsburg,icims
Acero Schools,Primary and Secondary Education,501-1000,Chicago,icims
LiveOnNY,Hospitals and Health Care,,Long Island City,icims
Security USA Inc.,Security Guards and Patrol Services,501-1000,New York,icims
Bethel University,Higher Education,1001-5000,St. Paul,icims
Mountain River Physical Therapy,Hospitals and Health Care,51-200,Parkersburg,icims
Rusnak Auto Group,Motor Vehicle Manufacturing,501-1000,Pasadena,icims
Barton Supply,Wholesale Building Materials,51-200,Aurora,icims
LHB,Architecture and Planning,201-500,Duluth,icims
Grayson College,Higher Education,501-1000,Denison,icims
Holland Residential,Real Estate,1-10,Seattle,icims
NewMarket Services Corporation,Manufacturing,1-10,Richmond,icims
Sprout,IT Services and IT Consulting,201-500,Charlotte,icims
Mercalis,Pharmaceutical Manufacturing,1001-5000,Morrisville,icims
ServiceLink,Financial Services,1001-5000,Moon Township,icims
YMCA of Greenville,Civic and Social Organizations,501-1000,Greenville,icims
Calspan,Airlines and Aviation,501-1000,Buffalo,icims
Red River Hospital,Hospitals and Health Care,201-500,Wichita Falls,icims
Whipple Service Champions,Consumer Services,51-200,Salt Lake City,icims
April Housing,Real Estate,51-200,Los Angeles,icims
City of Enid,Government Administration,201-500,Enid,icims
"Electronic Systems, Inc.","Appliances, Electrical, and Electronics Manufacturing","5001-10,000",Sioux Falls,icims
Summit Medical Group,Hospitals and Health Care,1001-5000,Knoxville,icims
Common Securitization Solutions,Financial Services,201-500,Bethesda,icims
92nd Street Y,Civic and Social Organizations,501-1000,New York,icims
Retina Consultants of Texas,Medical Practices,201-500,Bellaire,icims
Aireon LLC,Aviation and Aerospace Component Manufacturing,51-200,McLean,icims
Total Comfort,Industrial Machinery Manufacturing,51-200,Golden Valley,icims
At Home Healthcare,Hospitals and Health Care,201-500,Williamsburg,icims
St. Joseph's Villa,Individual and Family Services,201-500,Richmond,icims
Johns Hopkins Medical Management Corporation,Medical Practices,1-10,Baltimore,icims
Helmer Scientific,Medical Equipment Manufacturing,201-500,Noblesville,icims
IST Management Services,Public Relations and Communications Services,501-1000,Atlanta,icims
Touro University Nevada,Education,11-50,Henderson,icims
Tamarack Resort,Travel Arrangements,51-200,Tamarack,icims
Casey Industrial,Construction,201-500,Louisville,icims
Fortis Health,Home Health Care Services,"10,000+",Salt Lake City,icims
Sunriver Resort,Hospitality,1001-5000,Greenwood Village,icims
Centerline Logistics Corporation,Maritime Transportation,201-500,Seattle,icims
Crossroads Continuum,Individual and Family Services,51-200,Hudson,icims
"MasterCorp, Inc.",Hospitality,"5001-10,000",ORLANDO,icims
Penske Motor Group,Retail,1001-5000,El Monte,icims
Jacksonville Sheriff's Office,Law Enforcement,501-1000,Jacksonville,icims
Reid Health,Hospitals and Health Care,1001-5000,Richmond,icims
Spiro,Events Services,501-1000,Las Vegas,icims
Modena Reserve Kensington,Hospitals and Health Care,51-200,Kensington,icims
UCP Central PA,Individual and Family Services,1001-5000,Camp Hill,icims
Resource Treatment Center,Hospitals and Health Care,51-200,Indianapolis,icims
DLZ Corporation,Architecture and Planning,501-1000,Columbus,icims
Fairway Independent Mortgage,Banking,"5001-10,000",Leesville,icims
CarePortal,IT Services and IT Consulting,11-50,Kansas City,icims
Chesapeake Bank,Banking,201-500,Kilmarnock,icims
The Lawrenceville School,Education Administration Programs,201-500,Lawrenceville,icims
Spring Valley Hospice,Hospitals and Health Care,11-50,Tupelo,icims
Headfirst Summer Camps,Education Administration Programs,,Washington,icims
Nashville CARES,Non-profit Organizations,51-200,Nashville,icims
Monte Rosa Therapeutics,Biotechnology Research,51-200,Boston,icims
World Travel Holdings,Travel Arrangements,501-1000,Wakefield,icims
Arbonne,Manufacturing,"10,000+",Irvine,icims
The Rockefeller University,Research Services,1001-5000,New York,icims
Splice,Musicians,201-500,New York,icims
Ameristar Casino Hotel Council Bluffs,Gambling Facilities and Casinos,"5001-10,000",Las Vegas,icims
Renaissance Indianapolis North,Hospitality,11-50,Carmel,icims
