company_name,company_industry,employee_count_range,city,platform
Thompson Pipe Group,Construction,501-1000,Rialto,jobvite
Traffic Tech,"Transportation, Logistics, Supply Chain and Storage",1001-5000,Chicago,jobvite
Nortek Data Center Cooling,Industrial Machinery Manufacturing,1001-5000,Oklahoma City,jobvite
Healthy Spot,Retail,201-500,Culver City,jobvite
SK hynix America,Semiconductor Manufacturing,"10,000+",San Jose,jobvite
HighPoint,Computer Networking Products,201-500,Sparta,jobvite
Howard Family Dental,Medical Practices,1-10,Beaufort,jobvite
VDURA,Software Development,,Milpitas,jobvite
South Carolina Federal Credit Union,Banking,501-1000,North Charleston,jobvite
Banner Industries,Semiconductor Manufacturing,51-200,Danvers,jobvite
Renaissance Life and Health Insurance Company of America,Insurance,201-500,Indianapolis,jobvite
"SRC, Inc.",Defense and Space Manufacturing,1001-5000,North Syracuse,jobvite
MRM,Advertising Services,1001-5000,New York,jobvite
Arc Aspicio,Business Consulting and Services,51-200,Washington,jobvite
Altamira Technologies Corporation,Software Development,201-500,McLean,jobvite
Sikich,Business Consulting and Services,1001-5000,Chicago,jobvite
